,0,1
Trump 1," Exactly. She called Trump ""Irregular' https://m.youtube.com/?#/watch?v=zjDzjOY_HoE …",2016-06-10 07:59:59
Trump 2, @ Reince Thank you for standing with Trump!,2016-06-10 07:58:13
Trump 3," # Trump in 2016 Temp:Crab Orchard, Ky."":74.8°F Wind:0.0mph Pressure: 30.06hpa Steady Rain Today 0.00in. Forecast: Fine weather",2016-06-10 07:55:00
Trump 4, I agree with every word Senator Warren said. Nothing good ever came out of trumps business deals. A lot of people ended up hurt # msnbc,2016-06-10 07:54:27
Trump 5, @ msnbc it is not beyond belief that trump is used by republicans and billionaires. It doesn't (cont) http://tl.gd/nmg94r,2016-06-10 07:50:17
Trump 6," # Trump in 2016 Temp:Crab Orchard, Ky."":75.2°F Wind:0.0mph Pressure: 30.06hpa Steady Rain Today 0.00in. Forecast: Fine weather",2016-06-10 07:50:00
Trump 7," Elizabeth Warrens just kicked the A$$ of Trump and the Republicans... She might want to be VP,… https://www.instagram.com/p/BGc-LBcxeuA/",2016-06-10 07:46:37
Trump 8," # Trump in 2016 Temp:Crab Orchard, Ky."":75.4°F Wind:0.0mph Pressure: 30.06hpa Steady Rain Today 0.00in. Forecast: Fine weather",2016-06-10 07:45:02
Trump 9," El Paso trends now: Warriors, Trump, # nmpol, # ElPaso and # Coahuila. http://toplocalnow.com/united-states/texas/el-paso?section=trends …",2016-06-10 07:44:10
Trump 10, - - # thedonald # donaldtrump # trump # donald # evil # horror # scary # demon # bad # darkness… https://www.instagram.com/p/BGc91cBQgu_/,2016-06-10 07:43:41
Trump 11," Would u rather have @ SenWarren lie about Trump & sugarcoat everything? No, she's being truthful @ ErinBurnett # CNN",2016-06-10 07:43:36
Trump 12," Edmonton trends now: Donald Trump, # UAlberta16, # NAITPDday, # yegarts and # ymmstrong. http://toplocalnow.com/canada/alberta/edmonton?section=trends …",2016-06-10 07:43:12
Trump 13," # TNTweeters # AINF # ElizabethWarren # Trump ""A Thin Skin Cheating Fraud Bully, that knows NO Shame"" pic.twitter.com/QS4mPqo1Nh",2016-06-10 07:42:25
Trump 14," # Trump in 2016 Temp:Crab Orchard, Ky."":75.6°F Wind:0.0mph Pressure: 30.06hpa Steady Rain Today 0.00in. Forecast: Fine weather",2016-06-10 07:40:01
Trump 15, @ SenWarren is tearing @ realDonaldTrump a new one with the truth. I'm sure # DufusDonald will be tweeting some stupid drivel in 3-2-1!,2016-06-10 07:39:31
Trump 16," Did I miss this part of Trump's plans? @Irvine, California https://www.instagram.com/p/BGc87hnPYSr/",2016-06-10 07:35:46
Trump 17, @ realDonaldTrump is the man for the job! Get it done sir. We need you.,2016-06-10 07:35:37
Trump 18," # Trump in 2016 Temp:Crab Orchard, Ky."":75.7°F Wind:0.0mph Pressure: 30.06hpa Steady Rain Today 0.00in. Forecast: Fine weather",2016-06-10 07:35:01
Trump 19, If you weren't born with a silver spoon in your mouth you would be a snake oil salesman. @ reince @ SpeakerRyan,2016-06-10 07:31:34
Trump 20," # Trump in 2016 Temp:Crab Orchard, Ky."":75.9°F Wind:0.0mph Pressure: 30.06hpa Steady Rain Today 0.00in. Forecast: Fine weather",2016-06-10 07:30:00
Trump 21, Uh oh @ realDonaldTrump .... here she @ SenWarren goes.,2016-06-10 07:29:55
Trump 22, @ reince @ SpeakerRyan @ SenateMajLdr @ DanScavino This is your nominee: http://www.usatoday.com/story/news/politics/elections/2016/06/09/donald-trump-unpaid-bills-republican-president-laswuits/85297274/ … Followers better wake up!,2016-06-10 07:28:38
Trump 23, Are you sure? Do you have 2 sources. OMG! Who would ever have foreseen this? What's tomorrow's breaking story? Trump's a loon?,2016-06-10 07:28:28
Trump 24, ‘Racist’ Senator Sticks With Donald Trump http://thebea.st/25LpdPN # ImWithHer # UniteBlue # p2 # dumptrump,2016-06-10 07:27:59
Trump 25, @ realDonaldTrump Wow More proof of how unethical you are: http://www.usatoday.com/story/news/politics/elections/2016/06/09/donald-trump-unpaid-bills-republican-president-laswuits/85297274/ … Really Sad you have your daughter in the middle @ reince,2016-06-10 07:27:04
Trump 26," # Trump in 2016 Temp:Crab Orchard, Ky."":76.1°F Wind:0.0mph Pressure: 30.06hpa Steady Rain Today 0.00in. Forecast: Fine weather",2016-06-10 07:25:01
Trump 27, Just posted a photo @Trump International Hotel And Tower https://www.instagram.com/p/BGc7rDKtMih/,2016-06-10 07:24:47
Trump 28, of the 3 tonight Americas mayor of course Rudy,2016-06-10 07:22:31
Trump 29," Almost, thou persuadest me to hope for a Trump Presidency. https://twitter.com/Globalizer360/status/741030750066118656 …",2016-06-10 07:17:57
Trump 30, Large majority do!,2016-06-10 07:11:06
Trump 31, LOL.... # DeleteYourAccount @ realDonaldTrump,2016-06-10 07:09:34
Trump 32, Gag... @ RosanneBarr @ kirstiealley are two most could care less who they support.,2016-06-10 07:08:47
Trump 33, Proving Trump is even more of an idiot. @ RSandersDFS @ realDonaldTrump,2016-06-10 07:05:30
Trump 34," # Trump in 2016 Temp:Crab Orchard, Ky."":76.6°F Wind:0.0mph Pressure: 30.06hpa Steady Rain Today 0.00in. Forecast: Fine weather",2016-06-10 07:00:01
Trump 35, @ EMP306 @ realDonaldTrump pic.twitter.com/nz4CHHjDjh,2016-06-10 06:59:55
Trump 36, Roseanne Barr would be so lucky if Trump won http://thehill.com/blogs/blog-briefing-room/news/282864-roseanne-barr-we-would-be-so-lucky-if-trump-won … OMG we know she is nuts! # ImWithHer # UniteBlue # p2 # DeleteYourAccount,2016-06-10 06:57:12
Trump 37," Listening to the President of the AFL-CIO talk about Trump...how ""he wants to take America back… https://www.instagram.com/p/BGc4e80hJKB/",2016-06-10 06:56:55
Trump 38," BREAKING! Fox News poll Trump drops, trails Clinton Clinton 42/Trump 39(Now)Clinton 42/Trump 45(May)More http://fxn.ws/1UEL0As",2016-06-10 06:56:04
Trump 39," # Trump in 2016 Temp:Crab Orchard, Ky."":76.6°F Wind:1.6mph Pressure: 30.06hpa Steady Rain Today 0.00in. Forecast: Fine weather",2016-06-10 06:55:01
Trump 40," You Trump Rump buddies ""Can't handle the truth! Out of the mouth of Lyin'Donnie himself. @ cherokeesher2pic.twitter.com/ZY92MEu06i",2016-06-10 06:52:27
Trump 41, @ DavidMuir Thanks David for letting us know how many more days we have to put up with Trump's crap.,2016-06-10 06:51:30
Trump 42, 'Delete your account': Hillary Clinton responds to Donald Trump's Twitter attack http://abc7.ws/25PwTAy,2016-06-10 06:51:09
Trump 43, Trump rally coming to town? @The Chicago Theatre https://www.instagram.com/p/BGc3k-mnKpF/,2016-06-10 06:49:00
Trump 44, @ HillaryClinton @ BarackObama @ realDonaldTrump We will never forget Benghazi and what you and Barack failed to do. This will be your Legacy.,2016-06-10 06:48:16
Trump 45, U won 1 State either get on the Trump train or shut up !!!!!,2016-06-10 06:47:17
Trump 46," # Trump in 2016 Temp:Crab Orchard, Ky."":77.0°F Wind:0.9mph Pressure: 30.06hpa Falling slowly Rain Today 0.00in. Forecast: Fairly fine, show",2016-06-10 06:40:01
Trump 47, Caught on cam: Woman wanted by SJPD burns American flag at Trump rally https://amp.twimg.com/v/16f3f0d1-00a6-423c-894f-3f573c66a1d6 …,2016-06-10 06:39:24
Trump 48, I think you will be surprised at how many Texans will vote for you!!!,2016-06-10 06:38:51
Trump 49," # Trump in 2016 Temp:Crab Orchard, Ky."":77.4°F Wind:1.3mph Pressure: 30.06hpa Falling Rain Today 0.00in. Forecast: Fairly fine, showery lat",2016-06-10 06:30:01
Trump 50, Look What Happened Immediately After Trump Welcomed Bernie Supporters http://conservativetribune.com/trump-welcomed-bernie-supporters/?utm_source=Twitter&utm_medium=MobileFloatingSharingButtons&utm_content=2016-06-09&utm_campaign=websitesharingbuttons …,2016-06-10 06:28:19
