,0,1
Trump 1," @ realDonaldTrump @ Jaba401: DIRTY TRICKS:CBS,NBC Manipulate Poll Data Show Hill w/ Lead Over Trump https://shar.es/1Jzo51 via @ gatewaypundit",2016-06-18 07:58:49
Trump 2," Wake up, you Trump loving MORONS!!! @Winnsboro, Texas https://www.instagram.com/p/BGxl3SiKZ2jtvFVyTy70R3nyefWFy8jl1mLBz00/ …",2016-06-18 07:58:16
Trump 3," # Trump in 2016 Temp:Crab Orchard, Ky."":75.4°F Wind:0.0mph Pressure: 30.03hpa Rising slowly Rain Today 0.00in. Forecast: Settled fine",2016-06-18 07:55:01
Trump 4," # Trump in 2016 Temp:Crab Orchard, Ky."":75.4°F Wind:0.9mph Pressure: 30.00hpa Falling slowly Rain Today 0.00in. Forecast: Unsettled, precip",2016-06-18 07:50:02
Trump 5, Josh Freed: Donald Trump's rise is a reality TV show gone very wrong http://bit.ly/24WFKxY,2016-06-18 07:45:12
Trump 6, Would love to be a fly on the wall at the Popovich house when CGP learns that he was praised by Donald Trump. http://www.mysanantonio.com/news/local/article/Donald-Trump-praises-San-Antonio-Spurs-Gregg-8308968.php …,2016-06-18 07:45:09
Trump 7," # Trump in 2016 Temp:Crab Orchard, Ky."":75.7°F Wind:1.3mph Pressure: 30.00hpa Falling slowly Rain Today 0.00in. Forecast: Fairly fine, show",2016-06-18 07:45:02
Trump 8," # Trump in 2016 Temp:Crab Orchard, Ky."":75.7°F Wind:0.0mph Pressure: 30.00hpa Falling slowly Rain Today 0.00in. Forecast: Unsettled, precip",2016-06-18 07:40:02
Trump 9," Overturning the will of Trump's crazy ass supporters? Yeahhh, that's a plan. Better get the Army ready now to b n Cleveland.",2016-06-18 07:31:09
Trump 10," # Trump in 2016 Temp:Crab Orchard, Ky."":76.1°F Wind:1.1mph Pressure: 29.97hpa Steady Rain Today 0.00in. Forecast: Fine, possible showers",2016-06-18 07:30:02
Trump 11, When Ronald McDonald met Donald Trump # wynwood @Wynwood Art District https://www.instagram.com/p/BGxijTjBdc6/,2016-06-18 07:29:20
Trump 12, Trump motorcade arrives in River Oaks amid heavy show of HPD force. Fox26 @ GrooganFox26 http://toplocalnow.com/united-states/texas/austin …,2016-06-18 07:29:06
Trump 13, Man with gun arrested at location of Donald Trump rally in The Woodlands http://abc13.co/1PyM5Zi,2016-06-18 07:28:42
Trump 14, TrumpHouston KHOU The Marriott Waterway in The Woodlands is filled with Trump supporters awaiting his arrival. http://toplocalnow.com/united-states/texas/houston …,2016-06-18 07:28:41
Trump 15, Man w/gun taken into custody at Donald J. Trump rally in The Woodlands http://bit.ly/1UgBfi6,2016-06-18 07:28:41
Trump 16, Donald Trump faces Houston rush hour on his way to 2 events http://bubly.us/K1BQ,2016-06-18 07:23:07
Trump 17, You PC fucks only see skin color it's like comparing Trump to a construction worker you see his skin and think they're the same. RACIST,2016-06-18 07:22:07
Trump 18," @ seanspicer Better than the RNC working now on behalf of Trump, right?",2016-06-18 07:19:13
Trump 19, Happening now in river oaks... TRUMP Ralley... Follow my snap to see some of the protestors and… https://www.instagram.com/p/BGxghkpqEOG/,2016-06-18 07:11:37
Trump 20, “ @ BigBodyCisco: If Donald Trump listened to @ SammyJ_Musik 's # LionRoarEP he would love Mexicans.”,2016-06-18 07:11:08
Trump 21, Donald Trump faces Houston rush hour on his way to 2 events http://bubly.us/K1E0,2016-06-18 07:07:03
Trump 22," # Trump in 2016 Temp:Crab Orchard, Ky."":76.5°F Wind:0.9mph Pressure: 30.00hpa Falling slowly Rain Today 0.00in. Forecast: Unsettled, precip",2016-06-18 07:05:02
Trump 23," # Trump in 2016 Temp:Crab Orchard, Ky."":76.5°F Wind:0.0mph Pressure: 30.00hpa Falling slowly Rain Today 0.00in. Forecast: Unsettled, precip",2016-06-18 07:00:02
Trump 24," Sun or no sun, more protesters have arrived in River Oaks for the Trump fundraiser. khou HouNews Houston http://toplocalnow.com/united-states/texas/houston …",2016-06-18 06:58:08
Trump 25," # Trump in 2016 Temp:Crab Orchard, Ky."":76.6°F Wind:0.0mph Pressure: 30.00hpa Falling slowly Rain Today 0.00in. Forecast: Unsettled, precip",2016-06-18 06:55:01
Trump 26," Ellen on Trump: “He’s a bully. I'm not anti-Republican, I'm not anti anything. I'm pro human… https://www.instagram.com/p/BGxedU0NBNk/",2016-06-18 06:53:34
Trump 27, Donald Trump faces Houston rush hour on his way to 2 events http://bubly.us/K19z,2016-06-18 06:50:11
Trump 28," # Trump in 2016 Temp:Crab Orchard, Ky."":76.5°F Wind:0.0mph Pressure: 29.97hpa Falling slowly Rain Today 0.00in. Forecast: Unsettled, precip",2016-06-18 06:50:02
Trump 29," Those delegates trying to stop Trump are exercising a futile feat. Leave the @ GOP like I did, let it burn # gopexodus #2016",2016-06-18 06:50:01
Trump 30," # Trump in 2016 Temp:Crab Orchard, Ky."":76.3°F Wind:0.0mph Pressure: 29.97hpa Falling slowly Rain Today 0.00in. Forecast: Unsettled, precip",2016-06-18 06:45:02
Trump 31, Cat took a dump on trump,2016-06-18 06:43:33
Trump 32, Proving Bernie has more class than many of his supporters - Sanders vows to work with Clinton to defeat Trump http://flip.it/oObrw,2016-06-18 06:41:36
Trump 33, San Antonio politician ‘welcomes’ Trump with mocking video http://atxne.ws/1Sa69B0,2016-06-18 06:41:08
Trump 34," # Trump in 2016 Temp:Crab Orchard, Ky."":76.1°F Wind:0.0mph Pressure: 29.97hpa Falling slowly Rain Today 0.00in. Forecast: Unsettled, precip",2016-06-18 06:40:02
Trump 35, Trump tweets poll showing him losing to Clinton http://dlvr.it/LbBLBk,2016-06-18 06:27:09
Trump 36," Oh good, that must mean he’s not going to support Trump anymore. https://twitter.com/PRyan/status/743918704811868160 …",2016-06-18 06:27:04
Trump 37, Anti-Trump demonstrators starting to rally near River Oaks fundraiser. KHOU http://toplocalnow.com/united-states/texas/houston …,2016-06-18 06:24:13
Trump 38," Trump Motorcycles in force. Human Zoo. @The Woodlands, Texas https://www.instagram.com/p/BGxbEj4xIPM/",2016-06-18 06:23:59
Trump 39, Can you believe This is the band Obama/Hillary/and Trump don't want you to see! They are pissed… https://www.instagram.com/p/BGxYrumBC_1/,2016-06-18 06:03:08
Trump 40, Donald trump is in San Antonio.............shit,2016-06-18 06:02:05
Trump 41, Donald Trump hits the city of Dallas http://dlvr.it/LbB99l,2016-06-18 05:56:14
Trump 42, NOT TO WORRY MR. TRUMP RICHARD ARMITAGE REPUTATION PRECEDES HIM IT WILL NOT BE A GREAT LOSS!!!!!,2016-06-18 05:52:49
Trump 43, Wedding flow # triplecrowndjs # djkiko @Trump National Golf Club Philadelphia https://www.instagram.com/p/BGxXVeGtLRj/,2016-06-18 05:51:22
Trump 44, 45 Moments from the Trump Protest http://bit.ly/1YymKps,2016-06-18 05:49:08
Trump 45, Maybe Trump will teach a lesson that helps those guys in the future.,2016-06-18 05:48:33
Trump 46, Trump protest in River Oaks @HPMNews887 pic.twitter.com/KsCMTKiUik,2016-06-18 05:39:40
Trump 47, Trump visits SA for fundraiser KSATnews http://bit.ly/24WnB3i,2016-06-18 05:32:13
Trump 48, Donald J. Trump stops to take pic with SAPD motorcycle officers before getting on plane http://foxsanantonio.com/news/local/trump-to-appear-at-private-fundraiser-in-san-antonio …,2016-06-18 05:32:12
Trump 49, LIVE: Traffic stopped on Loop 410 for Trump motorcade http://foxsanantonio.com/news/local/trump-to-appear-at-private-fundraiser-in-san-antonio …,2016-06-18 05:32:10
Trump 50," LIVE: Trump's fundraiser in SA is over. He's now leaving Oak Hills Country Club, expected to head back to airport. http://bit.ly/2681eu6",2016-06-18 05:32:09
