,0,1
Trump 1," ""Go home to mommy"" -Trump to a protestor at Greensboro rally @ julie_luck http://toplocalnow.com/united-states/north-carolina/charlotte …",2016-06-15 07:51:07
Trump 2, Trump IS doing the terrorist's work for them with his hateful rhetoric. # StopTrump,2016-06-15 07:50:18
Trump 3," # Trump in 2016 Temp:Crab Orchard, Ky."":73.8°F Wind:0.9mph Pressure: 30.00hpa Rising quickly Rain Today 0.13in. Forecast: Settled fine",2016-06-15 07:50:02
Trump 4, @ rinkydnk2 @ realDonaldTrump @ cherokeesher2pic.twitter.com/N1fTSpkg4H,2016-06-15 07:49:56
Trump 5, Goodbye Mr Trump! It's Cruzing to the Whitehouse! # NeverTrump # VoteCruzatConvention # AlwaysConstitution # WriteInCruz,2016-06-15 07:49:53
Trump 6," . Lyin' @ realDonaldTrump files on DNC server (oooh) was hacked by Russia, now Putin has him pic.twitter.com/wsw3FVzjeD",2016-06-15 07:46:23
Trump 7," # Trump in 2016 Temp:Crab Orchard, Ky."":74.3°F Wind:1.3mph Pressure: 30.00hpa Rising quickly Rain Today 0.13in. Forecast: Settled fine",2016-06-15 07:45:02
Trump 8, @ realDonaldTrump Obama/Hillary put political correctness above the security of the country.,2016-06-15 07:43:44
Trump 9," # Trump in 2016 Temp:Crab Orchard, Ky."":74.8°F Wind:0.0mph Pressure: 30.00hpa Rising quickly Rain Today 0.13in. Forecast: Settled fine",2016-06-15 07:40:02
Trump 10, Lyin'Donnie is becoming Fred Drumpf.pic.twitter.com/Xqj7Q4EhJ1,2016-06-15 07:38:24
Trump 11, @ len_volkel @ krauthammer @ realDonaldTrump Obama/Hillary care more about political correctness then in the security of our country.,2016-06-15 07:35:36
Trump 12," Trump says Obama has been a ""lousy President."" NBC Charlotte @ RBerkywcnc http://toplocalnow.com/united-states/north-carolina/charlotte …",2016-06-15 07:35:03
Trump 13," # Trump in 2016 Temp:Crab Orchard, Ky."":75.9°F Wind:0.0mph Pressure: 29.97hpa Rising quickly Rain Today 0.13in. Forecast: Fine weather",2016-06-15 07:35:02
Trump 14," That depends, I think he will tweet in his depends...Oh, piss on him.",2016-06-15 07:32:12
Trump 15," # Trump in 2016 Temp:Crab Orchard, Ky."":77.4°F Wind:2.9mph Pressure: 29.97hpa Rising quickly Rain Today 0.08in. Forecast: Settled fine",2016-06-15 07:30:02
Trump 16, Truth... @Trump National Golf Club https://www.instagram.com/p/BGp0KESRgQD/,2016-06-15 07:29:15
Trump 17," You are a very long winded, word salad ridden,demented candidate.Drop out of race, & human race. @ cherokeesher2 @ rinkydnk2",2016-06-15 07:27:11
Trump 18," # Trump in 2016 Temp:Crab Orchard, Ky."":78.6°F Wind:1.6mph Pressure: 29.97hpa Rising quickly Rain Today 0.00in. Forecast: Fine weather",2016-06-15 07:25:02
Trump 19, Sometimes # RecklessLove gets your 3 ex wives @ realdonaldtrump # makeamericadrunkagain @Trump… https://www.instagram.com/p/BGpzfEdGRg5/,2016-06-15 07:23:26
Trump 20, Criticizing Trump is hopeless .He's been on target on everything and he doesn't even get the classified info.,2016-06-15 07:22:35
Trump 21," # Trump in 2016 Temp:Crab Orchard, Ky."":79.5°F Wind:0.0mph Pressure: 29.94hpa Rising Rain Today 0.00in. Forecast: Fine weather",2016-06-15 07:20:01
Trump 22, Shaun King: Why Hillary Clinton’s attacks on Donald Trump’s birther past ring hollow http://nydn.us/1roFiLw,2016-06-15 07:19:09
Trump 23," SAPD says it's prepared for Trump visit, expecting no issues KSATnews http://bit.ly/1Q2qm1w",2016-06-15 07:19:06
Trump 24," NYC's top cop says it's ""ironic"" that Muslims are on Trump Tower security detail http://4.nbcny.com/DDTAmLl",2016-06-15 07:19:05
Trump 25," I'm at Trump Tower in New York, NY https://www.swarmapp.com/c/iV33Aj6Z9JF",2016-06-15 07:19:00
Trump 26, Truth... @Trump National Golf Club https://www.instagram.com/p/BGpytRzRgdB/,2016-06-15 07:16:35
Trump 27, Trump was criticized for saying we need to go after the families. Need I say more. Wife possibly involved. Father dodging .,2016-06-15 07:16:00
Trump 28," # Trump in 2016 Temp:Crab Orchard, Ky."":79.9°F Wind:2.7mph Pressure: 29.94hpa Rising Rain Today 0.00in. Forecast: Fine weather",2016-06-15 07:15:02
Trump 29," Glad Obama shut your big mouth with an epic ""take down"" of Cecil B DeMillian proportions! @ cherokeesher2 @ rinkydnk2 @ msnbc",2016-06-15 07:11:09
Trump 30, Trump fights to keep videos of his Trump University testimony private http://lat.ms/1Xo5vIb,2016-06-15 07:10:40
Trump 31," # Trump in 2016 Temp:Crab Orchard, Ky."":80.1°F Wind:1.1mph Pressure: 29.94hpa Rising Rain Today 0.00in. Forecast: Becoming fine",2016-06-15 07:10:02
Trump 32, Rather be a liberal than Lyin'Donnie!pic.twitter.com/qPl6VLCHCv,2016-06-15 07:06:35
Trump 33, Poll: Clinton leads Trump by double digits http://dlvr.it/LYsPKv,2016-06-15 07:06:12
Trump 34," trump...a sick, sad, lying egomaniac !!!!!",2016-06-15 07:06:03
Trump 35," # Trump in 2016 Temp:Crab Orchard, Ky."":80.1°F Wind:2.2mph Pressure: 29.91hpa Steady Rain Today 0.00in. Forecast: Showery, bright intervals",2016-06-15 07:05:02
Trump 36," @ msnbc Listening to trump in NC..nothing but insults, lies and impossible promises !!!",2016-06-15 07:03:39
Trump 37," Trump Clown can't even run a company..I get it, he'll bankrupt the military. pic.twitter.com/mgUOavJt3P",2016-06-15 07:00:36
Trump 38," # Trump in 2016 Temp:Crab Orchard, Ky."":80.2°F Wind:1.6mph Pressure: 29.91hpa Steady Rain Today 0.00in. Forecast: Showery, bright intervals",2016-06-15 07:00:02
Trump 39, It is cheaper to send a Birthday tweet than to buy a card.I would buy Lyin'Donnie some Trump Steak with crow. @ cherokeesher2,2016-06-15 06:58:50
Trump 40," Didn't think it was possible 4 @ realDonaldTrump to look like more of a jackass, but facts showing shooter was gay club regular proves it.",2016-06-15 06:56:41
Trump 41," # Trump in 2016 Temp:Crab Orchard, Ky."":80.1°F Wind:0.0mph Pressure: 29.91hpa Steady Rain Today 0.00in. Forecast: Fine, possible showers",2016-06-15 06:55:01
Trump 42," # Trump in 2016 Temp:Crab Orchard, Ky."":80.1°F Wind:1.6mph Pressure: 29.94hpa Rising slowly Rain Today 0.00in. Forecast: Becoming fine",2016-06-15 06:50:01
Trump 43," El Paso trends now: Donald Trump, Amarillo, # E32016, # NBAFinals and # Orlando. http://toplocalnow.com/united-states/texas/el-paso?section=trends …",2016-06-15 06:47:14
Trump 44, Gays and lesbians in Orlando to Trump: Don't use us to bash Muslims http://www.660news.com/2016/06/14/gays-and-lesbians-in-orlando-to-trump-dont-use-us-to-bash-muslims/ …,2016-06-15 06:47:09
Trump 45, NC Rep. Party Chair tells Trump rally that 'radical Islamic terrorists' hit America again. NBC Charlotte @ RBerkywcnc http://toplocalnow.com/united-states/north-carolina/charlotte …,2016-06-15 06:47:06
Trump 46," # Trump in 2016 Temp:Crab Orchard, Ky."":80.2°F Wind:2.5mph Pressure: 29.94hpa Rising slowly Rain Today 0.00in. Forecast: Fine weather",2016-06-15 06:45:02
Trump 47," Yes, @ HillaryClinton you and President Obama don't know @ realDonaldTrump righteous indignation is. Because you're wrong. @ RNC @ FoxNews",2016-06-15 06:40:10
Trump 48," # Trump in 2016 Temp:Crab Orchard, Ky."":80.2°F Wind:0.0mph Pressure: 29.94hpa Rising slowly Rain Today 0.00in. Forecast: Fine weather",2016-06-15 06:40:02
Trump 49, Yes Trump sad he was an Afgan. He was. A birther by Afgan parents. Not a citizen.,2016-06-15 06:39:20
Trump 50, Russians steal research on Trump in hack of U.S. Democratic Party http://bit.ly/238lbiM # Answers,2016-06-15 06:39:10
