,0,1
Trump 1," wandering in strange mountains and hear growling ...... if I die and this is my last tweet, bring back Oreo cereal .. and fuck Donald trump",2016-06-11 07:58:39
Trump 2, Trump's wall to the North # trump @USA-Canada Border https://www.instagram.com/p/BGfkOsBnycg/,2016-06-11 07:57:39
Trump 3," I'm at Trump Building in New York, NY https://www.swarmapp.com/c/aifrwVlMOMZ pic.twitter.com/xIxwkBWlm6",2016-06-11 07:55:32
Trump 4," # Trump in 2016 Temp:Crab Orchard, Ky."":81.9°F Wind:0.0mph Pressure: 30.09hpa Steady Rain Today 0.00in. Forecast: Fine, possible showers",2016-06-11 07:55:01
Trump 5, well then that goes for TRUMP too,2016-06-11 07:38:58
Trump 6," If Donald Trump builds a wall, what will happen to these beers? lol... (Modelo Especial) http://untp.beer/s/c321945139",2016-06-11 07:37:14
Trump 7, Condoleezza Rice,2016-06-11 07:33:10
Trump 8," Mitt Romney fears ""trickle-down racism"" from Donald Trump presidency http://bos.gl/xzT9wRH",2016-06-11 07:30:37
Trump 9," Trump calls Warren ""goofy"". Who cares what trump thinks of Warren. Junior High School. Unfit Trump is an embarrassment",2016-06-11 07:29:37
Trump 10, @Trump Tower New York https://www.instagram.com/p/BGfgyXERWhM/,2016-06-11 07:27:36
Trump 11, . @ wvjoe911 - Mitch McConnell just said Trump knows little about the issues. Wow! November can't get here soon enough Joel.,2016-06-11 07:17:44
Trump 12, Now Trump Is Just Openly Attacking The Religious Right http://thkpr.gs/3776512 via @ thinkprogress @ realDonaldTrump Attacks everyone!,2016-06-11 07:15:55
Trump 13," Yeah, he pointed out that Trump said shooting someone wouldn’t lose him any support, but he must think that",2016-06-11 07:14:47
Trump 14," # Trump in 2016 Temp:Crab Orchard, Ky."":83.1°F Wind:1.1mph Pressure: 30.09hpa Falling slowly Rain Today 0.00in. Forecast: Showery, becoming",2016-06-11 07:05:02
Trump 15," # Trump in 2016 Temp:Crab Orchard, Ky."":83.1°F Wind:1.1mph Pressure: 30.09hpa Falling slowly Rain Today 0.00in. Forecast: Precipitation at",2016-06-11 07:00:02
Trump 16, OK!,2016-06-11 06:58:05
Trump 17," I mean, you can’t blame this on anti-Trump Republicans: https://twitter.com/mckaycoppins/status/741401649734901760 …",2016-06-11 06:55:51
Trump 18," Why do I feel like Donald Trump should live here? Because it's plastic, cheap, drab and worn. It… https://www.instagram.com/p/BGfdJntgpXk/",2016-06-11 06:55:49
Trump 19," Ivanka isn't safe around""old perv"" Donnie How is that for a nickname @ realDonaldTrump ? pic.twitter.com/pmPTk7uMND",2016-06-11 06:55:40
Trump 20," No, Hillary will win because Trump is the worst candidate ever. It’s going to be a total blowout no matter what.",2016-06-11 06:55:07
Trump 21," # Trump in 2016 Temp:Crab Orchard, Ky."":83.3°F Wind:1.3mph Pressure: 30.09hpa Falling slowly Rain Today 0.00in. Forecast: Occasional precip",2016-06-11 06:55:02
Trump 22, Yes!!,2016-06-11 06:51:33
Trump 23," # Trump in 2016 Temp:Crab Orchard, Ky."":83.3°F Wind:0.0mph Pressure: 30.09hpa Falling Rain Today 0.00in. Forecast: Occasional precipitation",2016-06-11 06:50:02
Trump 24, Maybe. I’m not sure Johnson has much going for him aside from not being Trump or Clinton. Probably not enough.,2016-06-11 06:47:30
Trump 25," CLEAN UP YOUR LANGUAGE! A-HOLE You're like Doushebag""Donniepic.twitter.com/4gyZifYnUX",2016-06-11 06:47:06
Trump 26, Then vote 3rd party. Berners and anti Trump forces are just being stupid voting 3rd party. 2/2,2016-06-11 06:45:49
Trump 27," Libertarians on 32 state ballots, Green Party on 20. Your protest vote pulls more from Clinton than Trump. If you can live with Trump, 1/",2016-06-11 06:45:46
Trump 28, Was just listening to Mitt Romney explain why he cant support Trump and his Bigotry. How would Trump influence Gov. Law enforcement Agencies,2016-06-11 06:41:31
Trump 29, Was just listening to Mitt Romney explain why he cant support Trump and his Bigotry. How would Trump influence Gov. Law enforcement Agencies,2016-06-11 06:41:30
Trump 30, Trump must have smoked a ton of pot! ;),2016-06-11 06:40:00
Trump 31, @ democracyloses @ SpeakerRyan Ryan's weak kneed response to Trump's racism was followed by pledged support. Really,2016-06-11 06:36:23
Trump 32," I Hope @ AGPamBondi spills her guts on Trump to save her butt https://twitter.com/green_footballs/status/741048940544430080 …"" @ realDonaldTrump # DROPOUTDRUMF @ cherokeesher2",2016-06-11 06:34:08
Trump 33, enjoying the the Vegas rays @Trump International Hotel Las Vegas https://www.instagram.com/p/BGfap2hs2jVNsWzO5llGrRalk4A3vcGord9MHo0/ …,2016-06-11 06:33:59
Trump 34," ""Billy Crystal: # AliFuneral: ""He taught us life is best when we build bridges, not walls.""pic.twitter.com/vqDS6uMcLj"" @ realDonaldTrump",2016-06-11 06:32:13
Trump 35, Finally got my Trump hat! # trump # trump2016 # makeamericagreatagain # trumptrain # studentsfortrump… https://www.instagram.com/p/BGfabC8G3yT/,2016-06-11 06:31:58
Trump 36," @ HillaryClinton @ realDonaldTrump @ mpshapiro he doesn't know what that is,it has no # YoMamaSoUgly insults, way over his head",2016-06-11 06:31:50
Trump 37," Donald Trump makes name calling so great, younger kids won't get in trouble anymore. The ""N"" word is strong in their vocabulary I'm sure.",2016-06-11 06:28:26
Trump 38," "" @ realDonaldTrump first time a Presidential candidate had over 3,000 state/fed pending lawsuits, inc fraud, https://twitter.com/ByronYork/status/741324291933888512 …""",2016-06-11 06:21:29
Trump 39," Trump, racism and the causal factor behind his 'popularity': He may or may not be a racist; WHO (cont) http://tl.gd/nmgd9f",2016-06-11 06:20:55
Trump 40," # Trump in 2016 Temp:Crab Orchard, Ky."":83.8°F Wind:1.3mph Pressure: 30.12hpa Falling slowly Rain Today 0.00in. Forecast: Occasional precip",2016-06-11 06:20:02
Trump 41," Delete your campaign! That only took one person, just 2 seconds. @elizabethforma @ HillaryClintonpic.twitter.com/d4k3DTLEOi",2016-06-11 06:19:15
Trump 42," Share values: disparaging women, hating Muslims, Hispanics, Blacks, calling people names. #pathetic",2016-06-11 06:15:47
Trump 43," # Trump in 2016 Temp:Crab Orchard, Ky."":83.8°F Wind:1.6mph Pressure: 30.12hpa Falling slowly Rain Today 0.00in. Forecast: Occasional precip",2016-06-11 06:15:02
Trump 44, Den där Trump; han är minsann här också! @Chicago Riverwalk https://www.instagram.com/p/BGfYTIznPG7uxdUUhYiN6qoNaAN6pAvc9i-ZEw0/ …,2016-06-11 06:13:24
Trump 45," #DONALD#TRUMPS#PUZZLESOLVED @Billings, Montana https://www.instagram.com/p/BGfXVzDLcOHOWAjIrFedtm0k2IbivopMEaG9500/ …",2016-06-11 06:05:03
Trump 46," # Trump in 2016 Temp:Crab Orchard, Ky."":84.2°F Wind:0.0mph Pressure: 30.12hpa Falling slowly Rain Today 0.00in. Forecast: Showery, becoming",2016-06-11 06:05:02
Trump 47, Trippin over Trump # trumprally # trumprva @Richmond Coliseum https://www.instagram.com/p/BGfXUZgg-H_/,2016-06-11 06:04:52
Trump 48, Louise and Charlie @Trump National Golf Club Philadelphia https://www.instagram.com/p/BGfW3q-hZDq/,2016-06-11 06:00:55
Trump 49, Louise and Charlie @Trump National Golf Club Philadelphia https://www.instagram.com/p/BGfWzS9hZDa/,2016-06-11 06:00:19
Trump 50," # Trump in 2016 Temp:Crab Orchard, Ky."":84.4°F Wind:1.1mph Pressure: 30.12hpa Falling slowly Rain Today 0.00in. Forecast: Showery, becoming",2016-06-11 06:00:01
