,0,1
Trump 1," Make # America great again! # Trump @Charlottesville, Virginia https://www.instagram.com/p/BGVRRveQ14i/",2016-06-07 07:59:39
Trump 2, Indeed. Instead of apologizing and admitting he's wrong he doubles down. @ reince @ SpeakerRyan,2016-06-07 07:55:04
Trump 3, Absurd. Your comments are reflections of ignorance and # Racism @318_joey,2016-06-07 07:51:07
Trump 4, why waste time hating on Hilary when god-emperor trump is about to make America great again,2016-06-07 07:51:05
Trump 5, Your comments are reflections of ignorance and # Racism @ realDonaldTrump,2016-06-07 07:50:05
Trump 6, A view that could make America great again. # Trump # TrumpNational # Bedminster # NewJersey @Trump… https://www.instagram.com/p/BGVQBfsBU08/,2016-06-07 07:48:41
Trump 7, Your comments are reflections of ignorance and # Racism @ realDonaldTrump,2016-06-07 07:48:01
Trump 8, Your comments are reflections of ignorance and # Racism @ realDonaldTrump,2016-06-07 07:46:55
Trump 9, Your comments are reflections of ignorance and # Racism. Of course you are a # trumpette @ realDonaldTrump,2016-06-07 07:46:17
Trump 10, hands on the nuclear codes.,2016-06-07 07:45:21
Trump 11, Absolutely not. Trump is so unstable that he should be led out in a straight jacket. Certainly do want those little,2016-06-07 07:44:54
Trump 12, Total idiocy.,2016-06-07 07:43:23
Trump 13, As close as we can get. Don't tell Trump! (@International Gateway of the Americas) https://www.swarmapp.com/c/c54QRvXCXx1 pic.twitter.com/xuYGDvB2Bl,2016-06-07 07:43:03
Trump 14, He's been doubling down. Trump never admits he's wrong or apologizes.,2016-06-07 07:40:56
Trump 15, Yep and coming up with another idiotic name.,2016-06-07 07:39:32
Trump 16, Yuck # WasteOfTime,2016-06-07 07:37:46
Trump 17," chyron: TRUMP: ""I DONT MAKE NO MONEY ON THIS WEBSITE FOLKS!! COSTS ME FIVE THOUSAND A MONTH TO HOST TH",2016-06-07 07:36:47
Trump 18, LOL....Obviously a # Trumpette,2016-06-07 07:35:17
Trump 19," keep on keeping it real, it's an activist judge everyone wants to protect",2016-06-07 07:34:30
Trump 20," Edmonton trends now: Calgary, Trump, Don Cherry, Severe Thunderstorm Watch, Environment Canada, # Ramadan and… http://toplocalnow.com/canada/alberta/edmonton?section=trends …",2016-06-07 07:33:09
Trump 21," over generalization, stereotyping, # FalseNarrative",2016-06-07 07:32:58
Trump 22," # Trump too,right in Ivana's face..then married the DB! Ur the kind of man who doesn't listen,has selective hearing&can't read!",2016-06-07 07:32:43
Trump 23, LOL...Such ignorance,2016-06-07 07:30:24
Trump 24, LOL,2016-06-07 07:29:56
Trump 25, Where is this pig in Twitter. They say he goes by Houdini. That's a russian,2016-06-07 07:29:16
Trump 26," Because they are making changes doesn't mean NATO is ""obsolete."" You aren't very bright.",2016-06-07 07:29:12
Trump 27, How so called Christians can support Trump is beyond any rational.,2016-06-07 07:26:04
Trump 28, white racist guys support # ChickenTrump,2016-06-07 07:25:02
Trump 29, Momentum for Silicon Valley’s Never Trump movement heats up http://tcrn.ch/22KvOYN,2016-06-07 07:23:04
Trump 30," @ FoxNews BUZZ FEED CAN'T TAKE @ realDonaldTrump 'S ""SUPER VERBAL PUNCH""HE BREATH OF FRESH AIR 2 VICTIMIZED VETS & FOLKS",2016-06-07 07:21:24
Trump 31, @ MariaTCardona Welcome to the Clinton News Network at CNN. Did u enjoy bashing Trump? U make it sound like Hillary is a model of virtue .,2016-06-07 07:20:30
Trump 32," # Trump in 2016 Temp:Crab Orchard, Ky."":79.7°F Wind:2.0mph Pressure: 29.79hpa Falling slowly Rain Today 0.00in. Forecast: Occasional precip",2016-06-07 07:20:01
Trump 33, # trump @Marina Del Rey Main Channel https://www.instagram.com/p/BGVMt3UTfINJsk6Cf9kg50E2IDcJJm0AFBwVe40/ …,2016-06-07 07:19:48
