,0,1
Trump 1," He asked, I accepted. Welcome to the Trump/Lannum 2016 ticket. @Los Angeles International… https://www.instagram.com/p/BGIY22ascsv/",2016-06-02 07:55:46
Trump 2," # Trump in 2016 Temp:Crab Orchard, Ky."":81.1°F Wind:4.0mph Pressure: 30.00hpa Rising Rain Today 0.00in. Forecast: Becoming fine",2016-06-02 07:55:00
Trump 3," San Diego trends now: UCLA, Ron Fowler, Trump University, # WednesdayWisdom and # Colombia. http://toplocalnow.com/united-states/california/san-diego?section=trends …",2016-06-02 07:52:45
Trump 4, Just posted a photo @Trump Taj Mahal https://www.instagram.com/p/BGIYXq3qzVxmdMu1ZRLR9vWfrZ7VCvHT6PsVLg0/ …,2016-06-02 07:51:29
Trump 5," # Trump in 2016 Temp:Crab Orchard, Ky."":81.5°F Wind:0.0mph Pressure: 29.97hpa Steady Rain Today 0.00in. Forecast: Fine weather",2016-06-02 07:50:01
Trump 6, My ball was probably in one of those bunkers @Trump National Golf Club Washington D.C. https://www.instagram.com/p/BGIYINqICz1/,2016-06-02 07:49:23
Trump 7," So Sanders ratchets up attacks on the Democratic Party, when we should be united to fight the Trump menace. Dangerous! # Imwithher",2016-06-02 07:46:15
Trump 8, We just love been together @Trump Taj Mahal https://www.instagram.com/p/BGIXxBoqzUu7gV8ANC2TuoKIp9dikGT2XX1BvQ0/ …,2016-06-02 07:46:13
Trump 9," # Trump in 2016 Temp:Crab Orchard, Ky."":81.7°F Wind:0.0mph Pressure: 29.97hpa Steady Rain Today 0.00in. Forecast: Fine weather",2016-06-02 07:45:01
Trump 10, The PGA has pulled its longtime tour event from Miami’s Trump Doral resort and moved it to Mexico City next year http://nyp.st/1P70VGh,2016-06-02 07:43:11
Trump 11, We're looking forward to see Trump to be here at Sacramento. # MakeAmericaGreatAgain # Trump2016 @… https://www.instagram.com/p/BGIXSJOmV6x/,2016-06-02 07:42:02
Trump 12," # Trump in 2016 Temp:Crab Orchard, Ky."":82.0°F Wind:0.0mph Pressure: 29.97hpa Steady Rain Today 0.00in. Forecast: Fine weather",2016-06-02 07:40:01
Trump 13, The Cutest quinceñera !! # Miami # miamibeach # trump # trumpinternational # trump # trumphotel… https://www.instagram.com/p/BGIWuD-PDZ8/,2016-06-02 07:37:04
Trump 14, We just got our 2 bottles of free wine @Trump Taj Mahal https://www.instagram.com/p/BGIWEwEKzSKJlOjPayfLCIcYWgiat-_2s46LuU0/ …,2016-06-02 07:31:26
Trump 15, # nocaptionneeded # lol # trump # onlyinnyc # nyc # nypd # ipark @Ed Koch Queensboro Bridge https://www.instagram.com/p/BGIV9JxFqxE/,2016-06-02 07:30:24
Trump 16, Looking up @Trump Tower New York https://www.instagram.com/p/BGIVCFxnirN/,2016-06-02 07:22:21
Trump 17, Donald Trump had something to say over the Gorilla that was shot at the Zoo. http://www.dnoble-daily.com/home/2016/6/2/donald-trump-had-something-to-say-over-the-gorrilla-that-was-shot-at-the-zoo-harambe …,2016-06-02 07:18:07
Trump 18, 'Trump University' students praise real estate seminars in campaign video http://dlvr.it/LSPSp7 # Granada Hills,2016-06-02 07:17:09
Trump 19, 'Trump University' students praise real estate seminars in campaign video http://dlvr.it/LSPSkJ,2016-06-02 07:17:07
Trump 20," Sweeping hidden corners & from the pile, a message appeared. # trump # PartisanBroom @San… https://www.instagram.com/p/BGITxpQl8s2/",2016-06-02 07:11:21
Trump 21, # greta PGA move is absolutely political! VOTE FOR # TRUMP,2016-06-02 07:07:24
Trump 22," # Trump in 2016 Temp:Crab Orchard, Ky."":83.8°F Wind:1.1mph Pressure: 29.94hpa Falling Rain Today 0.00in. Forecast: Occasional precipitation",2016-06-02 07:05:00
Trump 23," If there’s any way to make Trump reveal his taxes, it’s questioning his mega-wealthy status. Like challenging his manhood.",2016-06-02 07:04:50
